n_estimators,learning_rate,max_depth,min_samples_leaf,metric,score,n_valid
300,0.03,4,40,mae,11.582328261790943,504
300,0.03,2,40,mae,11.582328261790943,504
300,0.03,3,40,mae,11.582328261790943,504
300,0.03,2,30,mae,11.695277851795458,504
300,0.03,3,30,mae,11.695277851795458,504
300,0.03,4,30,mae,11.695277851795458,504
300,0.04,3,40,mae,11.791899457761694,504
300,0.04,2,40,mae,11.791899457761694,504
300,0.04,4,40,mae,11.791899457761694,504
400,0.03,4,40,mae,11.811057809689348,504
400,0.03,2,40,mae,11.811057809689348,504
400,0.03,3,40,mae,11.811057809689348,504
500,0.03,2,40,mae,11.971030368802506,504
500,0.03,3,40,mae,11.971030368802506,504
500,0.03,4,40,mae,11.971030368802506,504
400,0.03,3,30,mae,11.98753312705629,504
400,0.03,2,30,mae,11.98753312705629,504
400,0.03,4,30,mae,11.98753312705629,504
300,0.05,4,40,mae,11.995720760183236,504
300,0.05,2,40,mae,11.995720760183236,504
300,0.05,3,40,mae,11.995720760183236,504
300,0.04,2,30,mae,12.011381540968786,504
300,0.04,3,30,mae,12.011381540968786,504
300,0.04,4,30,mae,12.011381540968786,504
400,0.04,2,40,mae,12.025659053307225,504
400,0.04,3,40,mae,12.025659053307225,504
400,0.04,4,40,mae,12.025659053307225,504
300,0.05,4,30,mae,12.075822524661831,504
300,0.05,3,30,mae,12.075822524661831,504
300,0.05,2,30,mae,12.075822524661831,504
500,0.03,4,30,mae,12.093762394649957,504
500,0.03,2,30,mae,12.093762394649957,504
500,0.03,3,30,mae,12.093762394649957,504
400,0.05,2,30,mae,12.169566274573558,504
400,0.05,3,30,mae,12.169566274573558,504
400,0.05,4,30,mae,12.169566274573558,504
400,0.04,3,30,mae,12.17469301720064,504
400,0.04,2,30,mae,12.17469301720064,504
400,0.04,4,30,mae,12.17469301720064,504
400,0.05,4,40,mae,12.191062956964613,504
400,0.05,3,40,mae,12.191062956964613,504
400,0.05,2,40,mae,12.191062956964613,504
500,0.04,2,40,mae,12.20021740049407,504
500,0.04,3,40,mae,12.20021740049407,504
500,0.04,4,40,mae,12.20021740049407,504
500,0.05,2,30,mae,12.23420560200397,504
500,0.05,4,30,mae,12.23420560200397,504
500,0.05,3,30,mae,12.23420560200397,504
500,0.04,2,30,mae,12.26236823231013,504
500,0.04,3,30,mae,12.26236823231013,504
500,0.04,4,30,mae,12.26236823231013,504
500,0.05,2,40,mae,12.345779018958378,504
500,0.05,3,40,mae,12.345779018958378,504
500,0.05,4,40,mae,12.345779018958378,504
300,0.03,2,20,mae,12.432135896652753,504
300,0.03,4,20,mae,12.443256270255436,504
300,0.04,2,20,mae,12.531344194709455,504
300,0.03,3,20,mae,12.54179456140457,504
400,0.03,2,20,mae,12.557120222923231,504
400,0.03,4,20,mae,12.614880720244349,504
300,0.05,2,20,mae,12.654352423882543,504
300,0.04,4,20,mae,12.661535191830245,504
500,0.03,2,20,mae,12.694025035697237,504
400,0.04,2,20,mae,12.702624939969473,504
400,0.03,3,20,mae,12.753436832036355,504
500,0.03,4,20,mae,12.76984317495316,504
400,0.05,2,20,mae,12.803313230081837,504
300,0.04,3,20,mae,12.820009760364771,504
500,0.04,2,20,mae,12.860098851944189,504
400,0.04,4,20,mae,12.866080421899495,504
500,0.03,3,20,mae,12.895211047587454,504
300,0.05,4,20,mae,12.926199064468868,504
400,0.04,3,20,mae,13.000023064379683,504
500,0.05,2,20,mae,13.019689046745526,504
500,0.04,4,20,mae,13.066826223945803,504
500,0.04,3,20,mae,13.104595202881129,504
400,0.05,4,20,mae,13.163123577571097,504
300,0.05,3,20,mae,13.179168156624446,504
500,0.05,4,20,mae,13.239137869189692,504
400,0.05,3,20,mae,13.418576546847994,504
500,0.05,3,20,mae,13.4732615439823,504
